Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18022022,582721270,0001941
Trade Date <18-FEB-2022>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,122561,51994,42.42
20,2,21STCENMGM,EQ,3970,3970,100.00
20,3,3IINFOLTD,EQ,975634,547779,56.15
20,4,3MINDIA,EQ,1548,951,61.43
20,5,563GS2026,GS,1496,1496,100.00
20,6,5PAISA,EQ,12530,9226,73.63
20,7,667GS2050,GS,2310,2211,95.71
20,8,676GS2061,GS,2,2,100.00
20,9,68GS2060,GS,201,201,100.00
20,10,695GS2061,GS,1825,1825,100.00
20,11,699GS2051,GS,800,800,100.00
20,12,719GS2060,GS,267,267,100.00
20,13,727GS2026,GS,700,700,100.00
20,14,772GS2055,GS,240,240,100.00
20,15,A2ZINFRA,EQ,361838,236646,65.40
20,16,AAREYDRUGS,EQ,63444,37801,59.58
20,17,AARON,EQ,1104,535,48.46
20,18,AARTIDRUGS,EQ,76587,40044,52.29
20,19,AARTIIND,EQ,434247,168784,38.87
20,20,AARTISURF,EQ,47479,35941,75.70
20,21,AARVEEDEN,EQ,23412,19381,82.78
20,22,AARVI,EQ,13620,8530,62.63
20,23,AAVAS,EQ,95337,32351,33.93
20,24,ABAN,EQ,75460,51809,68.66
20,25,ABB,EQ,177031,108538,61.31
20,26,ABBOTINDIA,EQ,14857,3341,22.49
20,27,ABCAPITAL,EQ,2031261,815955,40.17
20,28,ABCOTS,SM,128000,104000,81.25
20,29,ABFRL,EQ,727808,180143,24.75
20,30,ABINFRA,SM,12000,8000,66.67
20,31,ABMINTLLTD,EQ,1698,503,29.62
20,32,ABSLAMC,EQ,257674,184309,71.53
20,33,ABSLBANETF,EQ,2319,1324,57.09
20,34,ABSLNN50ET,EQ,3635,3019,83.05
20,35,ACC,EQ,295149,125806,42.62
20,36,ACCELYA,EQ,5599,3400,60.73
20,37,ACCORD,SM,2000,2000,100.00
20,38,ACCURACY,EQ,116814,46328,39.66
20,39,ACE,EQ,344838,194499,56.40
20,40,ACRYSIL,EQ,42575,17919,42.09
20,41,ADANIENT,EQ,945100,205950,21.79
20,42,ADANIGREEN,EQ,1134090,267888,23.62
20,43,ADANIPORTS,EQ,2151557,281107,13.07
20,44,ADANIPOWER,EQ,84048571,9903250,11.78
20,45,ADANITRANS,EQ,82693,47701,57.68
20,46,ADFFOODS,EQ,7999,3764,47.06
20,47,ADORWELD,EQ,7340,3237,44.10
20,48,ADSL,EQ,101156,51347,50.76
20,49,ADVANIHOTR,EQ,1186359,447315,37.70
20,50,ADVENZYMES,EQ,60445,34292,56.73
20,51,AEGISCHEM,EQ,748690,402757,53.79
20,52,AFFLE,EQ,234786,77998,33.22
20,53,AGARIND,EQ,53183,26951,50.68
20,54,AGRITECH,EQ,54118,36621,67.67
20,55,AGROPHOS,EQ,40832,24275,59.45
20,56,AGSTRA,EQ,492873,176663,35.84
20,57,AHLADA,EQ,32922,23945,72.73
20,58,AHLEAST,EQ,9426,6913,73.34
20,59,AHLUCONT,EQ,20769,10048,48.38
20,60,AIAENG,EQ,26548,16312,61.44
20,61,AILIMITED,SM,12000,9000,75.00
20,62,AIRAN,EQ,187556,96795,51.61
20,63,AIROLAM,EQ,16755,10563,63.04
20,64,AIRTELPP,E1,354786,294897,83.12
20,65,AJANTPHARM,EQ,29276,10917,37.29
20,66,AJMERA,EQ,21015,9203,43.79
20,67,AJOONI,EQ,47506,18078,38.05
20,68,AKG,EQ,8595,7494,87.19
20,69,AKSHARCHEM,EQ,6628,3574,53.92
20,70,AKSHOPTFBR,EQ,366703,231894,63.24
20,71,AKZOINDIA,EQ,3594,2622,72.95
20,72,ALANKIT,EQ,563610,244133,43.32
20,73,ALBERTDAVD,EQ,6777,4631,68.33
20,74,ALEMBICLTD,EQ,118489,64985,54.84
20,75,ALICON,EQ,34927,22159,63.44
20,76,ALKEM,EQ,34257,10888,31.78
20,77,ALKYLAMINE,EQ,20931,7630,36.45
20,78,ALLCARGO,EQ,228199,99988,43.82
20,79,ALLSEC,EQ,8000,5142,64.28
20,80,ALMONDZ,EQ,37971,12955,34.12
20,81,ALOKINDS,EQ,8719905,2749017,31.53
20,82,ALPA,EQ,84208,46950,55.75
20,83,ALPHAGEO,EQ,19326,10442,54.03
20,84,AMARAJABAT,EQ,599725,138318,23.06
20,85,AMBER,EQ,39876,18103,45.40
20,86,AMBICAAGAR,EQ,118128,75874,64.23
20,87,AMBIKCO,EQ,25211,11083,43.96
20,88,AMBUJACEM,EQ,11901556,2687259,22.58
20,89,AMDIND,EQ,328749,140499,42.74
20,90,AMIORG,EQ,61987,24533,39.58
20,91,AMJLAND,EQ,60653,38705,63.81
20,92,AMJUMBO,SM,40000,32000,80.00
20,93,AMRUTANJAN,EQ,71237,35044,49.19
20,94,ANANDRATHI,EQ,110431,54810,49.63
20,95,ANANTRAJ,EQ,414152,197669,47.73
20,96,ANDHRACEMT,EQ,215744,150293,69.66
20,97,ANDHRAPAP,EQ,11984,9004,75.13
20,98,ANDHRSUGAR,EQ,203025,70275,34.61
20,99,ANDREWYU,EQ,59942,34453,57.48
20,100,ANGELONE,EQ,163450,44377,27.15
20,101,ANIKINDS,EQ,27272,17752,65.09
20,102,ANMOL,EQ,290157,84896,29.26
20,103,ANSALAPI,EQ,334995,255105,76.15
20,104,ANUP,EQ,6768,2721,40.20
20,105,ANURAS,EQ,39975,15101,37.78
20,106,APARINDS,EQ,131297,27059,20.61
20,107,APCL,EQ,4398,2775,63.10
20,108,APCOTEXIND,EQ,21656,10349,47.79
20,109,APEX,EQ,56697,20154,35.55
