,"Net Investment September 16-30, 2021","AUC as on September 30, 2021"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobiles & Auto Components,944,198251
Total Financial Services,2290,1548114
Banks,1551,875404
Other Financial Services1,739,672709
Capital Goods,936,132951
Chemicals & Petrochemicals,88,82241
Coal,139,7780
Commercial Services & Supplies,-861,35287
Construction Materials,-221,101309
Consumer Durables,669,142947
Diversified2,100,13863
Diversified Consumer Services,9,7046
Food & Drugs Retailing,0,3
"Food, Beverages & Tobacco",379,130826
Forest Materials,11,2124
General Industrials,-404,39580
Hardware Technology & Equipment,3,71
Healthcare Equipment & Supplies,13,1439
Healthcare Services,420,61480
"Hotels, Restaurants & Tourism",-468,35584
Household & Personal Products,752,182828
Insurance,-18,121951
Media,-1147,23008
Metals & Mining,-876,107967
Oil & Gas,1504,501861
Pharmaceuticals & Biotechnology,-419,175944
Real Estate Investment,0,0
Realty,321,66609
Retailing,163,87999
Software & Services,-2870,705181
Telecom Services,3852,116898
Telecommunications Equipment,69,431
"Textiles, Apparels & Accessories",276,62892
Transportation,-371,63829
Airlines,-457,14508
Logistics,-37,3221
Marine Port & Services,-152,24211
Roads & Highways,-1,3075
Shipping,36,1368
Surface Transportation,2,83
Transport Related Services,10,11134
Airport Services,228,6229
Utilities3,-691,160764
Sovereign,0,0
Others4,-54,31327
Grand Total,4538,4950384
