,"Net Investment November 16-30, 2021","AUC as on November 30, 2021"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobiles & Auto Components,-1173,193073
Total Financial Services,-13204,1464427
Banks,-10385,818524
Other Financial Services1,-2819,645902
Capital Goods,-696,143802
Chemicals & Petrochemicals,-359,77316
Coal,-136,6608
Commercial Services & Supplies,-542,38388
Construction Materials,-755,93099
Consumer Durables,-203,138556
Diversified2,106,12688
Diversified Consumer Services,229,6997
Food & Drugs Retailing,0,3
"Food, Beverages & Tobacco",-395,124262
Forest Materials,6,2059
General Industrials,-89,38823
Hardware Technology & Equipment,-1,76
Healthcare Equipment & Supplies,307,1894
Healthcare Services,908,74094
"Hotels, Restaurants & Tourism",1520,34343
Household & Personal Products,-1484,159288
Insurance,-371,113335
Media,-563,23300
Metals & Mining,-2518,93596
Oil & Gas,-2962,479683
Pharmaceuticals & Biotechnology,-1089,166055
Real Estate Investment,0,0
Realty,3893.22,66266
Retailing,16890,110919
Software & Services,-1426,684150
Telecom Services,167,120528
Telecommunications Equipment,7,515
"Textiles, Apparels & Accessories",412,71147
Transportation,-383,58798
Airlines,-296,13654
Logistics,60,3461
Marine Port & Services,-123,21967
Roads & Highways,-43,2476
Shipping,63,1253
Surface Transportation,1,150
Transport Related Services,-132,9622
Airport Services,87,6215
Utilities3,74,171688
Sovereign,0,0
Others4,129.78,28125
Grand Total,-3699,4797902
